iter	Passed	Remaining
0	31	92983
1	68	102625
2	101	101534
3	121	90948
4	151	90852
5	178	89254
6	203	87107
7	228	85379
8	256	85294
9	287	85962
10	320	86996
11	355	88458
12	383	88158
13	405	86451
14	477	94961
15	542	101235
16	584	102509
17	624	103392
18	652	102369
19	686	102263
20	724	102832
21	770	104336
22	809	104804
23	844	104749
24	870	103532
25	895	102469
26	918	101083
27	949	100758
28	977	100139
29	997	98745
30	1018	97583
31	1044	96899
32	1066	95875
33	1093	95368
34	1114	94397
35	1151	94829
36	1180	94524
37	1205	93975
38	1228	93290
39	1256	92987
40	1275	92066
41	1300	91624
42	1324	91094
43	1347	90511
44	1367	89774
45	1388	89195
46	1412	88727
47	1436	88368
48	1459	87898
49	1487	87741
50	1513	87510
51	1539	87293
52	1562	86907
53	1587	86600
54	1608	86129
55	1629	85688
56	1655	85455
57	1679	85205
58	1704	84976
59	1743	85448
60	1767	85170
61	1790	84856
62	1811	84456
63	1833	84133
64	1856	83816
65	1881	83632
66	1905	83422
67	1926	83078
68	1947	82732
69	1972	82543
70	2008	82854
71	2030	82581
72	2051	82269
73	2073	81994
74	2096	81766
75	2139	82312
76	2170	82410
77	2194	82211
78	2237	82744
79	2264	82649
80	2288	82458
81	2315	82397
82	2338	82182
83	2360	81952
84	2382	81698
85	2405	81496
86	2424	81190
87	2446	80943
88	2464	80618
89	2485	80376
90	2518	80517
91	2536	80191
92	2565	80186
93	2588	80019
94	2609	79802
95	2629	79542
96	2649	79280
97	2674	79210
98	2691	78879
99	2716	78765
100	2755	79077
101	2778	78950
102	2816	79205
103	2864	79751
104	2897	79886
105	2926	79898
106	2966	80198
107	2991	80116
108	3015	79991
109	3035	79752
110	3057	79582
111	3079	79408
112	3098	79173
113	3120	78995
114	3141	78805
115	3162	78622
116	3191	78636
117	3213	78476
118	3234	78303
119	3255	78126
120	3282	78096
121	3305	77970
122	3326	77801
123	3349	77680
124	3372	77571
125	3393	77396
126	3415	77260
127	3433	77036
128	3454	76873
129	3474	76712
130	3501	76687
131	3517	76427
132	3537	76246
133	3556	76069
134	3577	75926
135	3593	75682
136	3612	75487
137	3629	75281
138	3652	75175
139	3678	75150
140	3698	74994
141	3728	75032
142	3750	74930
143	3766	74694
144	3790	74637
145	3812	74516
146	3836	74468
147	3854	74271
148	3874	74143
149	3892	73962
150	3914	73860
151	3934	73727
152	3954	73587
153	3970	73385
154	3984	73135
155	4003	72987
156	4022	72832
157	4039	72664
158	4055	72467
159	4071	72276
160	4092	72162
161	4117	72139
162	4143	72115
163	4157	71890
164	4183	71873
165	4207	71835
166	4234	71827
167	4262	71847
168	4280	71698
169	4302	71629
170	4319	71457
171	4339	71350
172	4360	71250
173	4380	71150
174	4398	71001
175	4418	70895
176	4432	70690
177	4455	70631
178	4471	70476
179	4494	70418
180	4509	70239
181	4534	70215
182	4552	70080
183	4577	70059
184	4597	69950
185	4618	69869
186	4637	69755
187	4661	69726
188	4682	69648
189	4703	69568
190	4726	69516
191	4745	69401
192	4760	69231
193	4778	69111
194	4791	68921
195	4807	68775
196	4825	68656
197	4841	68508
198	4856	68359
199	4868	68164
200	4885	68028
201	4908	67986
202	4932	67957
203	4965	68053
204	4990	68046
205	5011	67977
206	5031	67893
207	5049	67777
208	5071	67719
209	5086	67576
210	5104	67470
211	5121	67352
212	5145	67321
213	5163	67222
214	5188	67206
215	5206	67105
216	5232	67101
217	5249	66991
218	5264	66847
219	5285	66791
220	5301	66664
221	5325	66646
222	5353	66669
223	5363	66468
224	5382	66388
225	5399	66272
226	5421	66224
227	5437	66114
228	5461	66083
229	5481	66012
230	5505	65993
231	5522	65889
232	5540	65800
233	5558	65709
234	5582	65679
